,group,distinct_hit_ips,overlaps,avg_overlap_times,avg_dest_ports
573,12663,62754,0.0,0.0,1.4636363636363638
721,12742,62754,0.0,0.0,1.3789682539682542
757,12734,62754,0.0,0.0,1.4395382395382395
766,12729,62754,0.0,0.0,1.2424242424242424
940,12868,62754,0.0,0.0,1.35515873015873
979,12872,62754,0.0,0.0,1.4541666666666666
988,12818,62754,0.0,0.0,1.066287878787879
991,12875,62754,0.0,0.0,1.2222222222222223
1000,12787,62754,0.0,0.0,1.5277777777777777
1004,12679,62754,0.0,0.0,1.5476190476190474
1009,12898,62754,0.0,0.0,1.3055555555555554
1015,12873,62754,0.0,0.0,1.1666666666666667
1019,12878,62754,0.0,0.0,1.0
1040,12861,62754,0.0,0.0,1.2606060606060607
602,276,62740,0.0,0.0,1.0
234,710,62738,0.0,0.0,2.0
986,12886,62738,0.0,0.0,1.3055555555555556
639,1948,62674,0.0,0.0,1.25
535,14061,62662,0.0,0.0,23.150000000000002
563,12686,62655,0.0,0.0,1.3621794871794872
913,352,62624,0.0,0.0,1.0
262,589,62599,0.0,0.0,6.44
243,615,62590,0.0,0.0,6.866666666666667
69,2892,62521,0.0,0.0,1.0
768,2963,62510,0.0,0.0,1.1666666666666667
444,12757,62498,0.0,0.0,1.1818181818181819
722,12711,62498,0.0,0.0,1.0
759,12657,62498,0.0,0.0,1.2550505050505052
763,12680,62498,0.0,0.0,1.371761734997029
942,12897,62498,0.0,0.0,1.3703703703703705
956,12877,62498,0.0,0.0,1.2103174603174605
965,12876,62498,0.0,0.0,1.2857142857142858
971,12785,62498,0.0,0.0,1.511111111111111
974,12844,62498,0.0,0.0,1.4761904761904763
977,12852,62498,0.0,0.0,1.4666666666666668
997,12850,62498,0.0,0.0,1.284848484848485
1007,12874,62498,0.0,0.0,1.25
1024,12626,62498,0.0,0.0,1.7361111111111114
1026,12789,62498,0.0,0.0,1.2194444444444446
1038,12775,62498,0.0,0.0,1.6845238095238095
1044,12830,62498,0.0,0.0,1.2575757575757578
1099,12855,62498,0.0,0.0,1.2777777777777777
995,12612,62497,0.0,0.0,1.4468253968253966
13,713,62491,0.0,0.0,1.2307692307692308
394,12653,62489,0.0,0.0,1.1216931216931216
191,1960,62487,0.0,0.0,1.6153846153846154
58,252,62482,0.0,0.0,1.25
295,18291,62482,0.0,0.0,1.6136363636363635
958,12783,62482,0.0,0.0,1.25
7,268,62479,0.0,0.0,1.0
1073,107,62409,0.0,0.0,2232.2
41,1940,62408,0.0,0.0,1.0
64,2905,62406,0.0,0.0,1.0
34,253,62393,0.0,0.0,1.1199999999999999
950,12809,62389,0.0,0.0,1.2321428571428572
293,16263,62365,0.0,0.0,1.4659090909090908
998,12691,62331,0.0,0.0,1.4916666666666665
915,349,62298,0.0,0.0,1.0
42,11321,62287,0.0,0.0,1.1666666666666667
625,340,62282,0.0,0.0,1.0
544,1274,62269,0.0,0.0,1.3333333333333333
623,651,62264,0.0,0.0,6.0
181,620,62257,0.0,0.0,2.5
895,314,62257,0.0,0.0,1.1458333333333333
73,2845,62255,0.0,0.0,1.0
342,2851,62253,0.0,0.0,1.0
81,2857,62248,0.0,0.0,1.0
15,590,62242,0.0,0.0,1.0
50,6282,62242,0.0,0.0,1.1
112,343,62242,0.0,0.0,1.0
116,339,62242,0.0,0.0,1.0
117,335,62242,0.0,0.0,1.0
119,338,62242,0.0,0.0,1.0
126,18293,62242,0.0,0.0,1.625
260,4088,62242,0.0,0.0,2.0113636363636367
283,621,62242,0.0,0.0,1.6666666666666667
312,2843,62242,0.0,0.0,2.0
322,2897,62242,0.0,0.0,1.0
330,22852,62242,0.0,0.0,1.0769230769230769
334,486,62242,0.0,0.0,1.5555555555555556
336,2900,62242,0.0,0.0,1.0
344,2901,62242,0.0,0.0,1.0
367,701,62242,0.0,0.0,6.25
368,4623,62242,0.0,0.0,1.0
370,619,62242,0.0,0.0,1.0
384,596,62242,0.0,0.0,1.0
390,12756,62242,0.0,0.0,1.2916666666666667
391,12694,62242,0.0,0.0,1.5
392,12620,62242,0.0,0.0,1.5792857142857142
396,12751,62242,0.0,0.0,1.1965151515151515
399,12764,62242,0.0,0.0,1.3333333333333333
418,12728,62242,0.0,0.0,1.1428571428571428
427,18295,62242,0.0,0.0,1.777777777777778
437,3369,62242,0.0,0.0,1.0
440,12763,62242,0.0,0.0,1.2727272727272727
442,12633,62242,0.0,0.0,1.5892857142857144
446,12704,62242,0.0,0.0,1.3666666666666665
448,12732,62242,0.0,0.0,1.1414141414141412
450,12671,62242,0.0,0.0,1.5714285714285712
451,12766,62242,0.0,0.0,1.1055555555555556
452,12673,62242,0.0,0.0,1.5535714285714284
455,12749,62242,0.0,0.0,1.2481481481481482
459,12725,62242,0.0,0.0,1.3333333333333335
542,3363,62242,0.0,0.0,1.0
565,12703,62242,0.0,0.0,1.287037037037037
609,258,62242,0.0,0.0,1.4155844155844157
638,312,62242,0.0,0.0,1.1141025641025641
656,789,62242,0.0,0.0,7.333333333333333
720,12702,62242,0.0,0.0,1.5416666666666667
724,12632,62242,0.0,0.0,1.5666666666666667
727,12665,62242,0.0,0.0,1.2444444444444445
729,12747,62242,0.0,0.0,1.2777777777777777
730,12697,62242,0.0,0.0,1.272727272727273
736,11333,62242,0.0,0.0,1.222222222222222
756,12700,62242,0.0,0.0,1.738888888888889
760,12746,62242,0.0,0.0,1.375
761,12712,62242,0.0,0.0,1.136111111111111
764,12713,62242,0.0,0.0,1.2276785714285714
767,12681,62242,0.0,0.0,1.7225274725274726
771,525,62242,0.0,0.0,1.0
911,350,62242,0.0,0.0,1.0
916,356,62242,0.0,0.0,1.0
931,12748,62242,0.0,0.0,1.0
932,719,62242,0.0,0.0,1.0833333333333333
943,12799,62242,0.0,0.0,1.2857142857142858
946,12833,62242,0.0,0.0,1.1666666666666667
949,12867,62242,0.0,0.0,1.4431818181818183
951,12879,62242,0.0,0.0,1.4318181818181817
953,12807,62242,0.0,0.0,1.356060606060606
960,12860,62242,0.0,0.0,1.3996212121212122
961,12838,62242,0.0,0.0,1.2833333333333332
963,12823,62242,0.0,0.0,1.0571428571428572
967,12870,62242,0.0,0.0,1.28125
