,group,distinct_hit_ips,overlaps,avg_overlap_times,avg_dest_ports
9,1557,63453,0.0,0.0,13.635714285714286
198,1713,63356,0.0,0.0,23.04
17,1527,63312,0.0,0.0,23.013533834586468
208,1657,63019,0.0,0.0,21.075
18,268,62946,0.0,0.0,1.0
105,1626,62895,0.0,0.0,14.199999999999996
176,2069,62822,0.0,0.0,2.096590909090909
108,1633,62776,0.0,0.0,14.197435897435895
11,2044,62748,0.0,0.0,21.70666666666667
107,1635,62716,0.0,0.0,14.199999999999996
106,1631,62690,0.0,0.0,14.199999999999998
109,1625,62604,0.0,0.0,14.199999999999998
0,4632,62595,0.0,0.0,1.375
315,3451,62496,0.0,0.0,1.3665674603174602
155,5134,62380,0.0,0.0,1.1111111111111112
47,7098,62247,0.0,0.0,1.3235294117647058
112,364,62247,0.0,0.0,3.323529411764706
3,1281,62242,0.0,0.0,1.0
139,1134,62240,0.0,0.0,2.1666666666666665
32,386,62238,0.0,0.0,1.0
138,1050,62235,0.0,0.0,1.0952380952380953
111,352,62227,0.0,0.0,1.6666666666666667
121,4971,62226,0.0,0.0,1.0166666666666666
299,5271,62226,0.0,0.0,1.0
125,1282,62159,0.0,0.0,1.05
213,774,62149,0.0,0.0,1.3181818181818181
256,9198,61976,0.0,0.0,1.9622641509433962
346,6028,61971,0.0,0.0,1.588235294117647
242,4945,61872,0.0,0.0,1.0
298,5281,61822,0.0,0.0,1.8557692307692308
185,2059,61747,0.0,0.0,6.554761904761905
255,4946,61307,0.0,0.0,1.0222222222222221
204,2057,61113,0.0,0.0,13.794871794871796
44,5635,61060,0.0,0.0,1.5
28,348,61006,0.0,0.0,2.0
254,4944,60989,0.0,0.0,1.0978260869565217
225,9177,60987,0.0,0.0,1.9333333333333333
190,2098,60926,0.0,0.0,1.783132530120482
186,2107,60832,0.0,0.0,2.0
237,3402,60451,0.0,0.0,37.216931216931215
207,3375,60450,0.0,0.0,69.72380952380952
78,5194,60437,0.0,0.0,1.717948717948718
302,5226,60437,0.0,0.0,1.0
352,5284,60434,0.0,0.0,1.0
6,242,60395,0.0,0.0,36.4375
243,2240,60385,0.0,0.0,2.0
82,7204,60123,0.0,0.0,1.2307692307692308
250,2142,60006,0.0,0.0,1.9741379310344827
216,1541,59064,0.0,0.0,1.0
223,2081,59010,0.0,0.0,1.6153846153846154
332,7403,58785,0.0,0.0,1.075
49,5086,57518,0.0,0.0,1.6444444444444446
230,1874,57436,0.0,0.0,26.0
339,1873,57130,0.0,0.0,24.0
367,5692,57055,0.0,0.0,2.3058823529411763
148,3669,56500,0.0,0.0,250.0
80,1757,56479,0.0,0.0,2.555555555555556
160,3511,55924,0.0,0.0,2.0
338,2106,55853,0.0,0.0,2.0
245,2085,55757,0.0,0.0,2.0
129,4576,55307,0.0,0.0,1.1333333333333333
257,2251,55057,0.0,0.0,2.0
164,5092,54719,0.0,0.0,1.5686274509803921
30,359,54009,0.0,0.0,2.0
205,2088,53964,0.0,0.0,2.0
295,2083,53947,0.0,0.0,2.0
274,2086,53884,0.0,0.0,2.0
182,4938,53709,0.0,0.0,1.0434782608695652
209,1275,52237,0.0,0.0,1.0
187,3837,52135,0.0,0.0,2.0054644808743167
102,2133,51828,0.0,0.0,2.0
365,9178,51744,0.0,0.0,1.0869565217391304
118,2556,51649,0.0,0.0,1.0
2,7291,51559,0.0,0.0,1.1428571428571428
88,5050,51528,0.0,0.0,3.7617328519855597
192,5332,50184,0.0,0.0,2.1179487179487184
40,5238,50017,0.0,0.0,1.045
167,9783,50002,0.0,0.0,1.0625
300,851,49997,0.0,0.0,1.0333333333333334
172,2157,49490,0.0,0.0,2.0
361,8882,49461,0.0,0.0,1.9666666666666666
157,6303,48431,0.0,0.0,1.1363636363636365
163,5137,48269,0.0,0.0,1.3333333333333333
145,1553,48195,0.0,0.0,26.88888888888889
101,2138,47579,0.0,0.0,2.0
144,2075,46638,0.0,0.0,2.0
