,group,distinct_hit_ips,overlaps,avg_overlap_times,avg_dest_ports
331,33746,62242,0.0,0.0,1.1111111111111112
332,33747,62242,0.0,0.0,1.8333333333333333
333,33748,62242,0.0,0.0,1.125
416,39996,62242,0.0,0.0,1.0
420,40000,62242,0.0,0.0,1.0
435,42001,62242,0.0,0.0,1.0
436,42002,62242,0.0,0.0,1.25
438,42004,62242,0.0,0.0,1.0
439,42005,62242,0.0,0.0,1.25
440,42006,62242,0.0,0.0,1.375
441,42007,62242,0.0,0.0,1.3181818181818181
444,42010,62242,0.0,0.0,1.0
445,42011,62242,0.0,0.0,1.5833333333333335
447,42013,62242,0.0,0.0,1.3125
449,42015,62242,0.0,0.0,1.125
465,43745,62242,0.0,0.0,1.1428571428571428
426,40006,62224,0.0,0.0,1.0
425,40005,62201,0.0,0.0,1.0
56,5183,62171,0.0,0.0,1.0
424,40004,62171,0.0,0.0,1.0
30,4046,62014,0.0,0.0,1.0
27,4031,61999,0.0,0.0,1.0
25,4023,61996,0.0,0.0,1.0
24,4022,61991,0.0,0.0,1.0
31,4054,61982,0.0,0.0,1.0
32,4065,61970,0.0,0.0,1.0
34,4068,61970,0.0,0.0,1.0
37,4078,61970,0.0,0.0,1.0
78,7253,61970,0.0,0.0,1.0
265,30259,61970,0.0,0.0,3.0
266,30260,61970,0.0,0.0,3.0
268,30262,61970,0.0,0.0,3.0
269,30263,61970,0.0,0.0,3.0
421,40001,61970,0.0,0.0,1.0
14,3023,61967,0.0,0.0,1.0
263,30257,61967,0.0,0.0,1.0
264,30258,61967,0.0,0.0,1.0
300,33249,61515,0.0,0.0,1.0444444444444445
53,4161,60976,0.0,0.0,1.0
216,29205,60832,0.0,0.0,2.0
26,4029,60783,0.0,0.0,1.0
57,5184,60450,0.0,0.0,1.0
84,7335,60450,0.0,0.0,2.5
85,7336,60450,0.0,0.0,2.25
108,11848,60450,0.0,0.0,45.0
270,30264,60450,0.0,0.0,3.0
278,32008,60450,0.0,0.0,46.31428571428571
279,32009,60450,0.0,0.0,44.94642857142857
417,39997,60450,0.0,0.0,1.0
419,39999,60450,0.0,0.0,1.0
463,43743,60450,0.0,0.0,1.0
81,7258,60447,0.0,0.0,1.0
238,29482,60445,0.0,0.0,74.0
243,29740,60441,0.0,0.0,74.0
19,4002,60434,0.0,0.0,1.0
20,4007,60434,0.0,0.0,1.0
22,4017,60434,0.0,0.0,1.0
33,4066,60434,0.0,0.0,1.0
35,4069,60434,0.0,0.0,1.0
38,4086,60434,0.0,0.0,1.0
39,4088,60434,0.0,0.0,1.0
41,4098,60434,0.0,0.0,1.0
42,4100,60434,0.0,0.0,1.0
45,4147,60434,0.0,0.0,1.0
137,13591,60434,0.0,0.0,61.900000000000006
169,19507,60434,0.0,0.0,1.0
